gene,Epi_mock1,Epi_mock2,Epi_mock3,Epi_KD1,Epi_KD2,Epi_KD3,Fib_mock1,Fib_mock2,Fib_mock3,Fib_KD1,Fib_KD2,Fib_KD3
C1QTNF3,30,41,18,15,24,14,5,3,12,29,24,10
LOC124906495,20,67,33,30,26,36,19,10,16,15,25,9
LOC100132524,0,0,0,0,0,0,0,0,0,0,0,0
RAI14,588,1221,1132,826,1100,1125,8320,7423,7936,8069,7941,8463
TTC23L-AS1,4,15,4,6,4,4,0,0,0,0,0,1
TTC23L,2,5,5,4,5,1,1,0,2,1,5,1
RPL21P54,0,0,0,0,0,1,0,0,0,0,0,0
RAD1,500,818,748,829,780,788,721,590,795,797,946,825
BRIX1,732,1074,1075,1454,1267,1226,717,654,806,693,809,794
DNAJC21,894,1443,1389,1156,1112,1053,1160,1046,1171,1307,1300,1308
AGXT2,0,0,0,0,0,0,0,0,0,1,0,0
PRLR,0,0,0,0,0,0,88,59,68,27,44,79
LOC124901220,0,0,0,0,0,0,0,0,0,0,0,0
SPEF2,58,109,67,62,58,50,25,25,25,33,27,32
RNU7-130P,0,0,0,0,0,0,0,0,0,0,0,0
IL7R,0,0,0,0,0,0,2488,2394,2743,2399,2641,2353
