gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NDUFB4P8,1.0136487812111488,-1.5412569668275689,2.14930738936881,-0.7170947136045496,0.47331565740431736,NA
CCNL2,1346.1707376980758,0.3759883038120908,0.20278166137384956,1.8541533848019736,0.06371721896659571,0.15110480842265353
MRPL20-AS1,361.9955033554505,0.06418649691534963,0.10884102570445608,0.5897270491518507,0.5553736576943944,0.7217341969832459
MRPL20,1303.0998038819585,0.3731838703697894,0.12249104978355359,3.0466215370773595,0.0023142889776455763,0.010207168483828747
ANKRD65,0.9646212116978362,0,2.7887374000340124,0,1,NA
VWA1,23.368850834017493,0.7630057779839019,0.561072494178149,1.3599058693859907,0.17385971339421416,0.3222072884670836
ATAD3C,2.032554019091154,-0.7254025040765643,1.4798420382008852,-0.4901891454296506,0.6240000610521352,NA
ATAD3B,778.0012940112415,1.017314363265732,0.2248523990664492,4.524365172395122,6.0577054880150594e-6,6.21129262648395e-5
ATAD3A,1385.9943870394388,0.5466211314690932,0.12256229029445426,4.45994547063247,8.1980508272759e-6,8.084277618648337e-5
TMEM240,34.81219882941355,-0.22806016983132504,0.4187340065613265,-0.5446421027615392,0.5859996918463136,0.7377638114104194
SSU72,3286.9398000379106,0.08703265999346739,0.12445987388172519,0.6992828875608129,0.48437525918982743,0.6590859545771385
FNDC10,23.620115937909617,0.9673384024818442,1.707820797433404,0.5664168066904954,0.5711104723577354,0.7284361105750615
MIB2,556.7199275798885,0.6633765996441375,0.18513212804834808,3.583260272743658,3.3933218929354354e-4,0.00198609902632703
MMP23B,1.5114092989723278,-0.4298195924354454,1.6154552768664394,-0.2660671567888793,0.790187488651334,NA
CDK11B,738.4568904343405,0.03960123551238974,0.11745934686465287,0.3371484396045707,0.7360050032710757,0.8519863032688776
SLC35E2B,685.1268078586149,-0.46021779033183996,0.19761227876803455,-2.328892684204419,0.019864751599442225,0.06036439105138259
CDK11A,20.951506637338298,-0.4950168515187908,0.46370016897134747,-1.0675364915585752,0.28572964444440885,0.458990595121665
NADK,1095.6799119951627,0.0579463095100599,0.08991670104730999,0.6444443449896059,0.5192873365398563,0.6901742189865443
GNB1,7758.150962355477,0.8286109921489199,0.10136618495696516,8.17443206036318,2.97262773944761e-16,2.690581988454783e-14
GNB1-DT,3.5978311081358947,-0.8062004557827698,1.0068196047686178,-0.8007397273199172,0.42328233848356195,0.6003573583603249
CALML6,1.0263057039685268,0.9673312110653942,2.5668854603531734,0.3768501656993689,0.7062849575874364,NA
TMEM52,5.0973740122830895,2.0670383614242054,0.793072263778684,2.60636824137004,0.009150802288453132,0.03223982845185781
CFAP74,0.9020387997859197,-2.9304976721526206,2.6780042764231617,-1.0942841644998036,0.273830368256353,NA
GABRD,0.31835499199004247,-0.9562308552489311,3.6284169914060618,-0.26353940506666473,0.7921348557829033,NA
PRKCZ-DT,1.5446790069336644,-2.010683108275437,1.953384975059524,-1.0293327398067893,0.30332334351913737,NA
PRKCZ,178.57841250094646,-0.38746539326518104,0.2411197404247167,-1.6069418148123666,0.10806713252903948,0.22569723533129735
PRKCZ-AS1,22.904235236339787,0.6046089934296955,0.5042071984135666,1.1991280476201693,0.2304781596156363,0.39564810285790986
FAAP20,876.7321541546116,0.1785983680449034,0.14799345994819343,1.2067990579274483,0.22750953896477338,0.39121452555675046
SKI,1120.2469295789447,-0.20908175768207385,0.15568572288214458,-1.3429732271619441,0.1792806431626446,0.32940326968718875
MORN1,95.33474526200388,0.023055334861020807,0.23985380806907408,0.09612244661290197,0.9234233240314799,0.9812421429226194
RER1,2371.535225209734,-0.0948796744253077,0.1308124529017544,-0.7253107202000585,0.4682614305521303,0.643098203845348
PEX10,341.52383578648426,-1.0378041380367036,0.13021555479614483,-7.9698937631637605,1.5881083033029296e-15,1.298321229033567e-13
